peak	chr	start	end	length	pileup	neg.log10p	fold.enrichment	neg.log10.q	tag	d	i.chr	i.start	i.end	id	ensembl.id	strand	gene.type	rep3.match
nup153_broad_peak_10000	chr13	60682326	60683403	1078	18.93	115.527	613.886	84.169	GENE	0	chr13	60239717	60738121	DIAPH3	ENSG00000139734	-	protein_coding	 
nup153_broad_peak_10080	chr13	72391597	72394033	2437	12.82	107.342	682.934	764.891	GENE	0	chr13	72012098	72441330	DACH1	ENSG00000165659	-	protein_coding	 
nup153_broad_peak_10093	chr13	73364512	73365611	1100	16.23	492.298	302.618	259.311	GENE	0	chr13	73356197	73590591	PIBF1	ENSG00000083535	+	protein_coding	 
nup153_broad_peak_10266	chr13	93895046	93896134	1089	12.39	102.442	66.422	719.179	GENE	0	chr13	93879095	95059655	GPC6	ENSG00000183098	+	protein_coding	 
nup153_broad_peak_10269	chr13	94248001	94249168	1168	16.8	150.101	846.422	115.464	GENE	0	chr13	93879095	95059655	GPC6	ENSG00000183098	+	protein_coding	 
nup153_broad_peak_10273	chr13	94785547	94786684	1138	11.58	926.129	626.177	62.947	GENE	0	chr13	93879095	95059655	GPC6	ENSG00000183098	+	protein_coding	 
nup153_broad_peak_10275	chr13	94891786	94892827	1042	11.85	968.123	639.712	667.772	GENE	0	chr13	93879095	95059655	GPC6	ENSG00000183098	+	protein_coding	 
nup153_broad_peak_10297	chr13	96394572	96395702	1131	8.58	446.188	355.474	219.576	GENE	0	chr13	96329393	96447243	DNAJC3	ENSG00000102580	+	protein_coding	 
nup153_broad_peak_10445	chr13	108233552	108234597	1046	9.04	620.652	463.384	364.824	GENE	0	chr13	107820883	108519083	FAM155A	ENSG00000204442	-	protein_coding	 
nup153_broad_peak_10678	chr14	31149667	31150802	1136	10.28	778.575	561.624	499.175	GENE	0	chr14	31091318	31205018	SCFD1	ENSG00000092108	+	protein_coding	 
nup153_broad_peak_10728	chr14	34556011	34558048	2038	12.19	736.743	476.919	468.775	GENE	0	chr14	34393437	34931980	EGLN3	ENSG00000129521	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_10731	chr14	34727448	34729401	1954	6.98	468.219	397.313	235.422	GENE	0	chr14	34393437	34931980	EGLN3	ENSG00000129521	-	protein_coding	 
nup153_broad_peak_10781	chr14	38173090	38174208	1119	13.01	112.137	697.364	809.052	GENE	0	chr14	38065052	38510647	TTC6	ENSG00000139865	+	protein_coding	 
nup153_broad_peak_10796	chr14	39320974	39322223	1250	11.24	674.157	454.586	418.531	GENE	0	chr14	39218545	39417477	LINC00639	ENSG00000259070	-	lincRNA	 
nup153_broad_peak_10797	chr14	39327146	39328239	1094	9.76	511.689	393.078	27.354	GENE	0	chr14	39218545	39417477	LINC00639	ENSG00000259070	-	lincRNA	 
nup153_broad_peak_10798	chr14	39339905	39340931	1027	13.42	861.124	5.343	574.442	GENE	0	chr14	39218545	39417477	LINC00639	ENSG00000259070	-	lincRNA	 
nup153_broad_peak_10840	chr14	45512072	45513827	1756	11.21	484.229	35.261	253.469	GENE	0	chr14	45431411	45543634	FAM179B	ENSG00000198718	+	protein_coding	 
nup153_broad_peak_10912	chr14	51539908	51542368	2461	9.05	489.393	382.445	256.298	GENE	0	chr14	51441980	51562779	TRIM9	ENSG00000100505	-	protein_coding	 
nup153_broad_peak_11018	chr14	57345689	57346879	1191	9.63	590.838	445.862	344.141	GENE	0	chr14	57279901	57618895	OTX2-AS1	ENSG00000248550	+	antisense	 
nup153_broad_peak_11018	chr14	57345689	57346879	1191	9.63	590.838	445.862	344.141	GENE	0	chr14	57284288	57360428	RP11-1085N6.5	ENSG00000258776	-	lincRNA	 
nup153_broad_peak_11082	chr14	60212025	60213059	1035	14.85	105.381	625.645	745.026	GENE	0	chr14	60062694	60337684	RTN1	ENSG00000139970	-	protein_coding	 
nup153_broad_peak_11086	chr14	60390153	60391199	1047	18	902.076	474.665	608.594	GENE	0	chr14	60386431	60530277	LRRC9	ENSG00000131951	+	protein_coding	 
nup153_broad_peak_1111	chr1	57029527	57030546	1020	10.91	856.116	592.963	567.074	GENE	0	chr1	56960419	57110974	PPAP2B	ENSG00000162407	-	protein_coding	 
nup153_broad_peak_11134	chr14	63539755	63540932	1178	8.93	641.594	494.335	381.367	GENE	0	chr14	63173287	63568755	KCNH5	ENSG00000140015	-	protein_coding	 
nup153_broad_peak_11217	chr14	66853196	66854637	1442	9.61	622.618	460.782	370.188	GENE	0	chr14	66679528	66976112	RP11-72M17.1	ENSG00000258561	-	lincRNA	 
nup153_broad_peak_11553	chr14	82259470	82260471	1002	15.54	118.192	682.544	864.552	GENE	0	chr14	82207346	82496693	RP11-666E17.1	ENSG00000259035	+	lincRNA	 
nup153_broad_peak_11612	chr14	88359052	88360150	1099	8.98	536.982	410.705	294.682	GENE	0	chr14	88304164	88460009	GALC	ENSG00000054983	-	protein_coding	 
nup153_broad_peak_11630	chr14	89187326	89188375	1050	8.2	521.747	409.912	284.163	GENE	0	chr14	89078775	89259096	EML5	ENSG00000165521	-	protein_coding	 
nup153_broad_peak_11725	chr14	93792539	93793649	1111	12.55	991.577	615.339	692.556	GENE	0	chr14	93703896	93799438	BTBD7	ENSG00000011114	-	protein_coding	 
nup153_broad_peak_11727	chr14	93838659	93839679	1021	12.42	811.714	537.088	531.969	GENE	0	chr14	93799565	94174222	UNC79	ENSG00000133958	+	protein_coding	 
nup153_broad_peak_11729	chr14	93929761	93930823	1063	14.6	670.014	40.831	408.631	GENE	0	chr14	93799565	94174222	UNC79	ENSG00000133958	+	protein_coding	 
nup153_broad_peak_1191	chr1	63130646	63131726	1081	9.98	58.575	439.063	33.808	GENE	0	chr1	62920399	63153969	DOCK7	ENSG00000116641	-	protein_coding	 
nup153_broad_peak_12083	chr15	23862588	23863826	1239	13.12	659.763	433.499	40.187	GENE	0	chr15	23810454	23873064	MKRN3	ENSG00000179455	+	protein_coding	 
nup153_broad_peak_12193	chr15	32985568	32986651	1084	13.07	553.605	368.052	309.055	GENE	0	chr15	32933877	32989299	SCG5	ENSG00000166922	+	protein_coding	 
nup153_broad_peak_12221	chr15	34862880	34863976	1097	7.55	508.532	417.626	268.976	GENE	0	chr15	34671269	34880704	GOLGA8A	ENSG00000175265	-	protein_coding	 
nup153_broad_peak_12221	chr15	34862880	34863976	1097	7.55	508.532	417.626	268.976	GENE	0	chr15	34817408	34880704	GOLGA8B	ENSG00000215252	-	protein_coding	 
nup153_broad_peak_1237	chr1	65659627	65660633	1007	13.3	60.502	39.737	353.643	GENE	0	chr1	65613232	65697828	AK4	ENSG00000162433	+	protein_coding	 
nup153_broad_peak_1238	chr1	65665490	65667029	1540	8.28	478.377	387.163	24.674	GENE	0	chr1	65613232	65697828	AK4	ENSG00000162433	+	protein_coding	 
nup153_broad_peak_12396	chr15	45941463	45942480	1018	10.6	537.388	392.343	296.866	GENE	0	chr15	45879549	45968512	RP11-96O20.4	ENSG00000260170	+	protein_coding	 
