peak	chr	start	end	length	pileup	neg.log10p	fold.enrichment	neg.log10.q	tag	d	i.chr	i.start	i.end	id	ensembl.id	strand	gene.type	rep3.match
nup153_broad_peak_10728	chr14	34556011	34558048	2038	12.19	736.743	476.919	468.775	LAD	54442	chr14	34612489	34644328	chr14_34612489_34644328				R1_R2_R3_10kb
nup153_broad_peak_10728	chr14	34556011	34558048	2038	12.19	736.743	476.919	468.775	GAP	15556012	chr14	16000000	19000000					R1_R2_R3_10kb
nup153_broad_peak_10728	chr14	34556011	34558048	2038	12.19	736.743	476.919	468.775	GENE	0	chr14	34393437	34931980	EGLN3	ENSG00000129521	-	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_12452	chr15	49486784	49487895	1112	8.7	528.055	408.742	287.587	LAD	58241	chr15	49546135	49911353	chr15_49546135_49911353				R1_R2_R3_10kb
nup153_broad_peak_12452	chr15	49486784	49487895	1112	8.7	528.055	408.742	287.587	GAP	20277342	chr15	29159443	29209443					R1_R2_R3_10kb
nup153_broad_peak_12452	chr15	49486784	49487895	1112	8.7	528.055	408.742	287.587	GENE	0	chr15	49447853	49660066	GALK2	ENSG00000156958	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_17103	chr18	59206847	59208228	1382	6.89	450.909	387.489	223.273	LAD	7420	chr18	57824758	59199428	chr18_57824758_59199428				R1_R2_R3_10kb
nup153_broad_peak_17103	chr18	59206847	59208228	1382	6.89	450.909	387.489	223.273	GAP	6997712	chr18	52059136	52209136					R1_R2_R3_10kb
nup153_broad_peak_17103	chr18	59206847	59208228	1382	6.89	450.909	387.489	223.273	GENE	0	chr18	59000815	59223006	CDH20	ENSG00000101542	+	protein_coding	R1_R2_R3_10kb
nup153_broad_peak_18739	chr2	14456062	14457086	1025	11.38	618.891	438.746	364.484	LAD	0	chr2	13010532	15158217	chr2_13010532_15158217				R1_R2_R3_10kb
nup153_broad_peak_18739	chr2	14456062	14457086	1025	11.38	618.891	438.746	364.484	GAP	1822639	chr2	16279724	16329724					R1_R2_R3_10kb
nup153_broad_peak_18739	chr2	14456062	14457086	1025	11.38	618.891	438.746	364.484	GENE	0	chr2	13850656	14541087	LINC00276	ENSG00000230448	-	lincRNA	R1_R2_R3_10kb
nup153_broad_peak_20257	chr2	132966504	132968404	1901	9.93	548.229	421.403	304.323	LAD	0	chr2	132587006	133030827	chr2_132587006_133030827				R1_R2_R3_10kb
